vegetable_name,price,quantity
marchew,1.37,66
marchew,5.14,57
pomidor,5.4,15
brokuły,1.95,17
brokuły,2.69,30
brokuły,2.17,85
brokuły,1.56,4
pomidor,9.71,47
pomidor,3.92,45
pomidor,8.57,4
marchew,0.64,36
pomidor,8.73,15
pomidor,6.92,80
pomidor,2.22,13
pomidor,9.91,56
brokuły,8.31,18
marchew,3.75,49
marchew,9.57,98
marchew,9.88,13
pomidor,5.99,52
pomidor,2.81,68
pomidor,3.64,61
pomidor,2.15,85
marchew,2.74,11
pomidor,4.27,87
brokuły,7.41,24
marchew,9.01,87
marchew,9.29,85
brokuły,3.97,85
pomidor,8.05,77
pomidor,3.13,67
marchew,4.61,65
brokuły,5.47,51
brokuły,3.08,34
marchew,2.27,1
marchew,4.41,5
brokuły,0.82,93
pomidor,3.11,28
marchew,0.5,97
pomidor,9.47,98
pomidor,7.39,11
pomidor,6.67,18
brokuły,1.31,97
brokuły,8.87,87
pomidor,2.47,46
brokuły,5.84,48
marchew,2.41,32
brokuły,2.0,49
marchew,0.86,47
pomidor,3.22,99
marchew,3.91,30
marchew,8.16,19
brokuły,9.88,60
marchew,7.75,62
marchew,9.41,18
brokuły,7.74,3
brokuły,4.96,88
pomidor,7.3,83
pomidor,3.06,22
marchew,0.83,15
brokuły,1.44,54
marchew,4.26,61
marchew,4.6,93
brokuły,9.6,88
marchew,1.25,65
pomidor,6.86,38
marchew,7.82,52
pomidor,3.62,53
marchew,4.7,67
brokuły,5.26,12
pomidor,7.62,54
marchew,2.41,90
marchew,8.3,90
marchew,9.11,68
pomidor,3.18,85
marchew,3.36,99
pomidor,8.48,69
brokuły,2.42,59
pomidor,7.82,17
brokuły,8.25,65
marchew,9.76,16
marchew,2.59,85
pomidor,9.72,69
marchew,8.84,40
marchew,0.66,19
pomidor,3.98,20
brokuły,2.49,64
brokuły,3.43,5
pomidor,6.75,98
marchew,5.72,89
pomidor,0.94,31
pomidor,4.02,12
pomidor,0.75,63
brokuły,5.28,10
marchew,2.74,3
pomidor,6.11,44
marchew,3.85,71
marchew,6.1,57
pomidor,1.29,27
brokuły,9.15,67
brokuły,1.63,82
pomidor,0.53,65
brokuły,8.35,72
brokuły,6.95,51
brokuły,9.87,87
marchew,1.46,69
pomidor,0.85,65
marchew,3.53,20
pomidor,2.93,34
marchew,4.88,35
pomidor,9.46,9
brokuły,5.18,22
brokuły,1.17,52
brokuły,6.25,90
brokuły,3.88,88
brokuły,7.48,60
pomidor,1.87,62
marchew,3.8,16
marchew,2.93,45
marchew,8.33,75
marchew,7.21,60
pomidor,8.65,48
marchew,8.43,93
pomidor,1.2,1
brokuły,2.66,9
pomidor,9.99,95
pomidor,9.42,77
pomidor,5.5,81
marchew,8.88,43
marchew,9.64,77
marchew,7.58,64
pomidor,4.73,56
brokuły,8.97,61
brokuły,1.32,17
brokuły,1.23,53
marchew,9.09,59
marchew,7.9,80
marchew,7.93,58
pomidor,3.51,64
pomidor,1.16,21
marchew,9.47,28
pomidor,4.15,5
marchew,6.15,47
brokuły,8.5,7
pomidor,9.49,73
marchew,9.76,3
brokuły,9.2,8
marchew,6.83,32
pomidor,2.12,77
pomidor,9.31,100
brokuły,4.31,66
pomidor,2.15,94
marchew,3.83,93
pomidor,5.63,36
pomidor,9.82,86
marchew,3.06,53
brokuły,7.52,11
marchew,4.7,54
brokuły,9.68,100
brokuły,7.06,6
pomidor,7.07,76
pomidor,3.44,7
brokuły,3.42,51
marchew,5.21,18
pomidor,8.48,51
pomidor,2.03,32
pomidor,3.9,87
marchew,1.69,30
marchew,6.89,87
brokuły,6.34,55
marchew,9.98,94
pomidor,2.98,37
brokuły,5.33,72
brokuły,8.8,72
brokuły,3.84,90
pomidor,3.39,22
marchew,2.97,65
brokuły,1.59,59
marchew,3.54,67
brokuły,5.11,78
brokuły,9.95,86
pomidor,4.02,7
brokuły,4.96,31
pomidor,7.31,54
marchew,0.51,59
brokuły,9.16,80
brokuły,2.73,28
pomidor,2.98,59
brokuły,1.08,55
marchew,1.77,88
brokuły,9.96,86
brokuły,9.72,6
brokuły,1.97,53
pomidor,7.58,78
pomidor,2.33,63
brokuły,7.01,17
pomidor,5.04,42
brokuły,8.53,100
brokuły,7.05,34
marchew,6.92,27
brokuły,8.72,37
pomidor,9.17,21
brokuły,3.35,15
pomidor,8.22,3
brokuły,9.82,29
brokuły,1.03,54
marchew,7.95,43
brokuły,9.46,47
marchew,1.01,1
brokuły,7.88,21
pomidor,9.82,64
pomidor,7.6,32
pomidor,3.13,99
brokuły,2.44,32
pomidor,0.7,11
brokuły,1.39,13
brokuły,4.67,47
brokuły,2.29,60
pomidor,9.06,27
brokuły,6.69,3
pomidor,1.23,19
brokuły,0.61,94
pomidor,7.45,12
brokuły,1.12,12
marchew,5.27,46
brokuły,5.11,23
brokuły,9.7,97
brokuły,3.43,57
marchew,5.98,3
pomidor,9.05,72
marchew,2.71,67
marchew,1.51,86
pomidor,6.37,64
brokuły,7.29,57
marchew,0.52,43
pomidor,2.84,60
pomidor,3.57,2
pomidor,5.13,27
pomidor,8.88,66
brokuły,7.66,20
marchew,4.69,4
brokuły,1.03,92
brokuły,3.96,97
pomidor,1.99,1
pomidor,9.65,72
pomidor,3.21,64
pomidor,2.84,10
brokuły,5.61,64
brokuły,2.32,41
pomidor,1.45,13
pomidor,2.7,60
brokuły,5.65,6
marchew,8.92,32
marchew,3.43,79
pomidor,3.94,30
brokuły,8.39,33
brokuły,3.6,61
marchew,3.08,11
marchew,6.52,82
brokuły,2.8,25
pomidor,7.03,51
pomidor,2.46,58
brokuły,7.59,98
pomidor,5.63,76
brokuły,1.55,8
brokuły,9.29,76
pomidor,0.91,55
marchew,3.6,23
pomidor,8.4,84
marchew,2.22,85
pomidor,8.53,73
marchew,1.64,73
pomidor,0.75,48
marchew,8.8,94
marchew,6.73,92
pomidor,8.05,17
marchew,6.91,100
marchew,7.97,1
brokuły,4.91,37
marchew,8.66,91
pomidor,0.73,28
pomidor,2.05,63
marchew,5.81,46
marchew,7.83,19
brokuły,7.37,38
pomidor,1.75,40
pomidor,4.59,90
brokuły,6.42,90
marchew,7.83,51
brokuły,9.75,56
pomidor,3.26,46
pomidor,1.3,52
marchew,7.35,92
marchew,3.83,37
brokuły,3.06,11
marchew,7.09,38
pomidor,0.91,42
brokuły,7.98,50
brokuły,7.64,9
marchew,9.46,20
marchew,3.92,61
brokuły,7.61,50
brokuły,0.89,49
brokuły,2.31,64
brokuły,7.06,92
brokuły,4.78,95
marchew,3.17,37
brokuły,1.52,17
brokuły,2.54,10
pomidor,6.8,88
brokuły,8.61,78
pomidor,2.25,61
pomidor,3.23,81
pomidor,2.69,19
marchew,6.77,32
marchew,4.85,72
marchew,8.48,77
brokuły,4.21,23
pomidor,1.27,29
brokuły,1.17,61
marchew,7.2,67
pomidor,8.18,38
brokuły,2.62,97
pomidor,1.88,28
brokuły,9.72,70
pomidor,1.15,52
pomidor,6.08,40
brokuły,9.42,94
pomidor,4.86,64
pomidor,5.73,16
brokuły,3.22,16
brokuły,5.72,95
pomidor,5.52,9
marchew,3.34,91
marchew,7.29,68
marchew,6.7,8
pomidor,8.01,63
brokuły,7.87,82
brokuły,6.4,66
marchew,6.97,1
marchew,5.82,92
brokuły,7.17,62
brokuły,5.42,37
marchew,3.65,74
brokuły,9.22,7
pomidor,9.62,75
brokuły,8.7,36
brokuły,1.17,78
pomidor,2.25,100
marchew,1.59,81
marchew,4.83,19
marchew,4.25,19
marchew,2.07,92
marchew,7.08,21
brokuły,6.97,50
marchew,8.32,18
pomidor,9.02,56
pomidor,7.97,76
brokuły,4.27,19
marchew,2.99,52
brokuły,3.25,5
marchew,4.33,47
brokuły,6.28,20
brokuły,2.88,12
brokuły,9.84,86
pomidor,7.81,92
marchew,1.87,89
brokuły,8.08,11
brokuły,8.35,66
pomidor,2.02,27
marchew,4.0,14
brokuły,7.63,60
brokuły,5.89,97
brokuły,7.37,74
brokuły,2.57,35
brokuły,3.41,71
pomidor,5.66,77
brokuły,5.12,21
brokuły,5.17,48
marchew,5.23,96
brokuły,2.95,19
marchew,0.64,17
marchew,6.08,72
brokuły,1.71,3
marchew,7.65,3
brokuły,1.46,3
marchew,9.56,17
pomidor,9.47,69
pomidor,4.99,74
brokuły,5.31,91
marchew,4.67,61
marchew,5.04,82
marchew,9.39,51
marchew,1.89,31
marchew,8.96,29
brokuły,4.16,89
marchew,6.32,65
brokuły,9.98,11
brokuły,3.65,18
marchew,9.66,51
brokuły,9.0,22
marchew,0.71,76
pomidor,0.69,88
pomidor,5.99,47
brokuły,7.08,96
marchew,0.78,70
marchew,8.95,78
brokuły,9.94,14
marchew,2.64,52
pomidor,0.74,8
pomidor,6.02,4
marchew,9.15,48
marchew,9.06,51
pomidor,9.85,39
brokuły,3.6,97
pomidor,5.88,66
brokuły,3.89,6
marchew,3.74,86
marchew,9.96,46
brokuły,3.27,42
marchew,6.01,80
marchew,7.37,60
pomidor,7.53,36
pomidor,8.66,55
marchew,6.86,65
pomidor,6.26,51
brokuły,1.48,44
brokuły,7.83,11
brokuły,5.13,45
marchew,0.55,16
marchew,3.46,62
brokuły,5.66,63
brokuły,7.85,35
marchew,1.32,86
marchew,4.9,62
brokuły,7.4,79
pomidor,9.74,85
marchew,2.95,30
pomidor,3.43,30
brokuły,3.71,14
marchew,2.12,9
brokuły,3.1,54
pomidor,7.34,98
pomidor,0.8,38
brokuły,2.5,78
brokuły,2.05,66
marchew,5.98,98
pomidor,4.25,71
brokuły,0.99,40
marchew,1.87,29
marchew,4.69,72
brokuły,7.31,94
marchew,7.87,65
pomidor,6.24,88
pomidor,6.81,5
brokuły,9.19,50
marchew,8.75,7
pomidor,3.11,32
marchew,9.51,74
brokuły,1.71,68
marchew,9.55,39
brokuły,7.52,52
pomidor,3.54,51
pomidor,1.26,3
marchew,7.62,100
marchew,7.61,8
marchew,1.53,11
pomidor,3.44,47
marchew,9.38,6
brokuły,0.72,75
pomidor,5.69,5
pomidor,1.28,32
marchew,5.9,74
pomidor,6.97,15
marchew,1.18,37
pomidor,9.74,71
brokuły,6.37,57
pomidor,7.89,19
marchew,8.47,88
pomidor,3.99,39
brokuły,1.66,72
pomidor,7.86,9
