vegetable_name,price,quantity
marchew,3.46,20
pomidor,3.54,57
brokuly,4.16,76
marchew,6.85,4
brokuly,2.18,28
marchew,7.01,46
marchew,8.1,93
marchew,6.42,10
marchew,2.93,99
brokuly,9.79,92
pomidor,1.45,61
brokuly,9.52,90
brokuly,7.06,93
brokuly,3.16,91
pomidor,1.51,25
brokuly,6.84,33
pomidor,1.24,45
marchew,7.85,24
brokuly,7.95,31
pomidor,3.09,79
marchew,5.76,8
pomidor,2.27,61
pomidor,5.68,21
marchew,6.53,41
pomidor,1.92,56
brokuly,5.76,38
pomidor,9.49,2
pomidor,7.8,48
pomidor,3.47,23
brokuly,1.65,95
pomidor,3.44,70
brokuly,0.6,5
marchew,8.03,92
marchew,7.73,5
brokuly,2.98,92
marchew,4.43,43
marchew,7.86,79
marchew,4.13,6
marchew,4.35,51
pomidor,9.31,90
pomidor,1.3,56
pomidor,7.77,94
brokuly,2.05,16
pomidor,2.13,74
brokuly,3.8,43
marchew,5.05,26
pomidor,8.22,11
pomidor,5.54,6
pomidor,4.1,82
pomidor,7.2,62
brokuly,9.32,38
marchew,2.88,88
pomidor,3.14,97
marchew,9.26,26
brokuly,2.91,93
brokuly,6.89,96
brokuly,4.23,12
pomidor,0.74,34
brokuly,2.67,4
marchew,8.38,71
brokuly,5.59,18
marchew,5.01,12
pomidor,3.34,32
brokuly,8.58,30
marchew,8.99,86
brokuly,4.33,49
brokuly,6.23,19
pomidor,9.43,99
marchew,2.09,53
pomidor,1.39,78
pomidor,9.28,100
marchew,6.88,77
pomidor,5.47,37
brokuly,3.68,51
pomidor,8.33,74
brokuly,7.59,79
pomidor,3.46,8
marchew,1.56,79
marchew,0.83,54
pomidor,1.45,57
pomidor,1.36,46
marchew,6.68,40
brokuly,1.5,57
pomidor,9.09,29
pomidor,5.38,98
pomidor,9.86,55
pomidor,8.48,2
brokuly,6.94,82
pomidor,4.21,13
pomidor,6.44,11
brokuly,0.81,34
brokuly,7.43,24
brokuly,8.77,24
pomidor,4.65,83
pomidor,6.02,15
marchew,8.6,31
marchew,8.54,61
pomidor,2.08,44
brokuly,8.41,54
brokuly,2.18,65
brokuly,6.64,8
pomidor,7.81,63
brokuly,5.22,78
marchew,7.09,11
pomidor,7.05,90
brokuly,3.09,97
brokuly,6.78,95
brokuly,4.76,36
pomidor,3.64,23
pomidor,1.84,85
pomidor,4.18,22
marchew,1.03,89
pomidor,3.68,9
pomidor,9.4,92
marchew,1.83,10
marchew,5.75,40
brokuly,5.57,65
pomidor,3.31,74
brokuly,7.96,16
pomidor,8.25,29
brokuly,5.63,31
pomidor,3.89,4
brokuly,8.5,21
